,benchmark name,total_inputs,total_outputs,is_completed,automaton build duration (ms),is_automaton_built,find dependencies duration (ms),total_dependent_vars,dependency_ratio
83,ltl2dba19,2,1,True,18.0,True,3.0,0,0.0
84,EscalatorBidirectionalInit,7,8,True,140.0,True,3.0,2,0.25
85,Gamemodule,4,4,True,26.0,True,0.0,1,0.25
86,ltl2dba23,2,1,True,15.0,True,0.0,0,0.0
87,lilydemo23,1,1,True,17.0,True,0.0,0,0.0
88,TwoCountersInRangeA5,11,8,True,5145.0,True,5.0,3,0.375
89,lilydemo15,2,2,True,14.0,True,1.0,0,0.0
90,ltl2dba15,2,1,True,15.0,True,0.0,0,0.0
91,ltl2dpa07,3,2,True,17.0,True,1.0,1,0.5
92,TwoCountersDisButA5,12,13,True,2312455.0,True,83.0,4,0.3076923076923077
93,ltl2dba03,3,1,True,20.0,True,0.0,0,0.0
94,ltl2dpa11,3,2,True,17.0,True,1.0,1,0.5
95,lilydemo03,3,1,True,18.0,True,1.0,0,0.0
96,EscalatorNonCounting,2,3,True,13.0,True,0.0,3,1.0
97,SPI,4,16,True,662.0,True,50.0,5,0.3125
98,OneCounterGuiA2,9,9,True,536.0,True,8.0,3,0.3333333333333333
99,EscalatorCountingInit,3,7,True,20.0,True,2.0,5,0.7142857142857143
100,KitchenTimerV0,2,2,True,9.0,True,0.0,2,1.0
101,Increment,1,2,True,11.0,True,0.0,2,1.0
102,lilydemo16,3,3,True,22.0,True,7.0,0,0.0
103,SPIWriteManag,5,15,True,279.0,True,11.0,6,0.4
104,ltl2dpa04,2,2,True,18.0,True,0.0,1,0.5
